task,classifier,train_fraction,seed,n_train,class_label,precision,recall,f1,support
gender,logistic_regression,0.1,13,16,F,0.5352112676056338,0.5352112676056338,0.5352112676056338,71.0
gender,logistic_regression,0.1,13,16,M,0.5352112676056338,0.5352112676056338,0.5352112676056338,71.0
gender,random_forest,0.1,13,16,F,0.39473684210526316,0.4225352112676056,0.40816326530612246,71.0
gender,random_forest,0.1,13,16,M,0.3787878787878788,0.352112676056338,0.36496350364963503,71.0
gender,hist_gradient_boosting,0.1,13,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,13,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,13,16,F,0.5087719298245614,0.8169014084507042,0.6270270270270271,71.0
gender,mlp,0.1,13,16,M,0.5357142857142857,0.2112676056338028,0.30303030303030304,71.0
gender,logistic_regression,0.1,21,16,F,0.4782608695652174,0.4647887323943662,0.4714285714285714,71.0
gender,logistic_regression,0.1,21,16,M,0.4794520547945205,0.49295774647887325,0.4861111111111111,71.0
gender,random_forest,0.1,21,16,F,0.6,0.4647887323943662,0.5238095238095238,71.0
gender,random_forest,0.1,21,16,M,0.5632183908045977,0.6901408450704225,0.620253164556962,71.0
gender,hist_gradient_boosting,0.1,21,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,21,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,21,16,F,0.5,0.8591549295774648,0.6321243523316062,71.0
gender,mlp,0.1,21,16,M,0.5,0.14084507042253522,0.21978021978021978,71.0
gender,logistic_regression,0.1,34,16,F,0.5108695652173914,0.6619718309859155,0.5766871165644172,71.0
gender,logistic_regression,0.1,34,16,M,0.52,0.36619718309859156,0.4297520661157025,71.0
gender,random_forest,0.1,34,16,F,0.4864864864864865,0.5070422535211268,0.496551724137931,71.0
gender,random_forest,0.1,34,16,M,0.4852941176470588,0.4647887323943662,0.4748201438848921,71.0
gender,hist_gradient_boosting,0.1,34,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,34,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,34,16,F,0.5333333333333333,0.3380281690140845,0.41379310344827586,71.0
gender,mlp,0.1,34,16,M,0.5154639175257731,0.704225352112676,0.5952380952380952,71.0
gender,logistic_regression,0.1,55,16,F,0.44776119402985076,0.4225352112676056,0.43478260869565216,71.0
gender,logistic_regression,0.1,55,16,M,0.4533333333333333,0.4788732394366197,0.4657534246575342,71.0
gender,random_forest,0.1,55,16,F,0.4659090909090909,0.5774647887323944,0.5157232704402516,71.0
gender,random_forest,0.1,55,16,M,0.4444444444444444,0.3380281690140845,0.384,71.0
gender,hist_gradient_boosting,0.1,55,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,55,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,55,16,F,0.4728682170542636,0.8591549295774648,0.61,71.0
gender,mlp,0.1,55,16,M,0.23076923076923078,0.04225352112676056,0.07142857142857142,71.0
gender,logistic_regression,0.1,89,16,F,0.5522388059701493,0.5211267605633803,0.5362318840579711,71.0
gender,logistic_regression,0.1,89,16,M,0.5466666666666666,0.5774647887323944,0.5616438356164384,71.0
gender,random_forest,0.1,89,16,F,0.5106382978723404,0.3380281690140845,0.4067796610169492,71.0
gender,random_forest,0.1,89,16,M,0.5052631578947369,0.676056338028169,0.5783132530120482,71.0
gender,hist_gradient_boosting,0.1,89,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,89,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,89,16,F,0.46078431372549017,0.6619718309859155,0.5433526011560693,71.0
gender,mlp,0.1,89,16,M,0.4,0.22535211267605634,0.2882882882882883,71.0
gender,logistic_regression,0.25,13,38,F,0.5416666666666666,0.5492957746478874,0.5454545454545454,71.0
gender,logistic_regression,0.25,13,38,M,0.5428571428571428,0.5352112676056338,0.5390070921985816,71.0
gender,random_forest,0.25,13,38,F,0.5571428571428572,0.5492957746478874,0.5531914893617021,71.0
gender,random_forest,0.25,13,38,M,0.5555555555555556,0.5633802816901409,0.5594405594405595,71.0
gender,hist_gradient_boosting,0.25,13,38,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.25,13,38,M,0.0,0.0,0.0,71.0
gender,mlp,0.25,13,38,F,0.5185185185185185,0.7887323943661971,0.6256983240223464,71.0
gender,mlp,0.25,13,38,M,0.5588235294117647,0.2676056338028169,0.3619047619047619,71.0
gender,logistic_regression,0.25,21,38,F,0.5192307692307693,0.38028169014084506,0.43902439024390244,71.0
gender,logistic_regression,0.25,21,38,M,0.5111111111111111,0.647887323943662,0.5714285714285714,71.0
gender,random_forest,0.25,21,38,F,0.5757575757575758,0.5352112676056338,0.5547445255474452,71.0
gender,random_forest,0.25,21,38,M,0.5657894736842105,0.6056338028169014,0.5850340136054422,71.0
gender,hist_gradient_boosting,0.25,21,38,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.25,21,38,M,0.0,0.0,0.0,71.0
gender,mlp,0.25,21,38,F,0.5078125,0.9154929577464789,0.6532663316582915,71.0
gender,mlp,0.25,21,38,M,0.5714285714285714,0.11267605633802817,0.18823529411764706,71.0
gender,logistic_regression,0.25,34,38,F,0.5625,0.38028169014084506,0.453781512605042,71.0
gender,logistic_regression,0.25,34,38,M,0.5319148936170213,0.704225352112676,0.6060606060606061,71.0
gender,random_forest,0.25,34,38,F,0.509090909090909,0.39436619718309857,0.4444444444444444,71.0
gender,random_forest,0.25,34,38,M,0.5057471264367817,0.6197183098591549,0.5569620253164557,71.0
gender,hist_gradient_boosting,0.25,34,38,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.25,34,38,M,0.0,0.0,0.0,71.0
gender,mlp,0.25,34,38,F,0.4444444444444444,0.16901408450704225,0.24489795918367346,71.0
gender,mlp,0.25,34,38,M,0.48695652173913045,0.7887323943661971,0.6021505376344086,71.0
gender,logistic_regression,0.25,55,38,F,0.5476190476190477,0.647887323943662,0.5935483870967742,71.0
gender,logistic_regression,0.25,55,38,M,0.5689655172413793,0.4647887323943662,0.5116279069767442,71.0
gender,random_forest,0.25,55,38,F,0.5,0.4788732394366197,0.4892086330935252,71.0
gender,random_forest,0.25,55,38,M,0.5,0.5211267605633803,0.5103448275862069,71.0
gender,hist_gradient_boosting,0.25,55,38,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.25,55,38,M,0.0,0.0,0.0,71.0
gender,mlp,0.25,55,38,F,0.48717948717948717,0.8028169014084507,0.6063829787234043,71.0
gender,mlp,0.25,55,38,M,0.44,0.15492957746478872,0.22916666666666666,71.0
gender,logistic_regression,0.25,89,38,F,0.5070422535211268,0.5070422535211268,0.5070422535211268,71.0
gender,logistic_regression,0.25,89,38,M,0.5070422535211268,0.5070422535211268,0.5070422535211268,71.0
gender,random_forest,0.25,89,38,F,0.5125,0.5774647887323944,0.543046357615894,71.0
gender,random_forest,0.25,89,38,M,0.5161290322580645,0.4507042253521127,0.48120300751879697,71.0
gender,hist_gradient_boosting,0.25,89,38,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.25,89,38,M,0.0,0.0,0.0,71.0
gender,mlp,0.25,89,38,F,0.44871794871794873,0.49295774647887325,0.4697986577181208,71.0
gender,mlp,0.25,89,38,M,0.4375,0.39436619718309857,0.4148148148148148,71.0
gender,logistic_regression,0.5,13,76,F,0.515625,0.4647887323943662,0.4888888888888889,71.0
gender,logistic_regression,0.5,13,76,M,0.5128205128205128,0.5633802816901409,0.5369127516778524,71.0
gender,random_forest,0.5,13,76,F,0.5087719298245614,0.4084507042253521,0.453125,71.0
gender,random_forest,0.5,13,76,M,0.5058823529411764,0.6056338028169014,0.5512820512820513,71.0
gender,hist_gradient_boosting,0.5,13,76,F,0.5423728813559322,0.4507042253521127,0.49230769230769234,71.0
gender,hist_gradient_boosting,0.5,13,76,M,0.5301204819277109,0.6197183098591549,0.5714285714285714,71.0
gender,mlp,0.5,13,76,F,0.4883720930232558,0.5915492957746479,0.535031847133758,71.0
gender,mlp,0.5,13,76,M,0.48214285714285715,0.38028169014084506,0.4251968503937008,71.0
gender,logistic_regression,0.5,21,76,F,0.4807692307692308,0.352112676056338,0.4065040650406504,71.0
gender,logistic_regression,0.5,21,76,M,0.4888888888888889,0.6197183098591549,0.546583850931677,71.0
gender,random_forest,0.5,21,76,F,0.5352112676056338,0.5352112676056338,0.5352112676056338,71.0
gender,random_forest,0.5,21,76,M,0.5352112676056338,0.5352112676056338,0.5352112676056338,71.0
gender,hist_gradient_boosting,0.5,21,76,F,0.4657534246575342,0.4788732394366197,0.4722222222222222,71.0
gender,hist_gradient_boosting,0.5,21,76,M,0.463768115942029,0.4507042253521127,0.45714285714285713,71.0
gender,mlp,0.5,21,76,F,0.504,0.8873239436619719,0.6428571428571429,71.0
gender,mlp,0.5,21,76,M,0.5294117647058824,0.1267605633802817,0.20454545454545456,71.0
gender,logistic_regression,0.5,34,76,F,0.5161290322580645,0.4507042253521127,0.48120300751879697,71.0
gender,logistic_regression,0.5,34,76,M,0.5125,0.5774647887323944,0.543046357615894,71.0
gender,random_forest,0.5,34,76,F,0.4528301886792453,0.3380281690140845,0.3870967741935484,71.0
gender,random_forest,0.5,34,76,M,0.47191011235955055,0.5915492957746479,0.525,71.0
gender,hist_gradient_boosting,0.5,34,76,F,0.5352112676056338,0.5352112676056338,0.5352112676056338,71.0
gender,hist_gradient_boosting,0.5,34,76,M,0.5352112676056338,0.5352112676056338,0.5352112676056338,71.0
gender,mlp,0.5,34,76,F,0.5151515151515151,0.23943661971830985,0.3269230769230769,71.0
gender,mlp,0.5,34,76,M,0.5045871559633027,0.7746478873239436,0.6111111111111112,71.0
gender,logistic_regression,0.5,55,76,F,0.5555555555555556,0.5633802816901409,0.5594405594405595,71.0
gender,logistic_regression,0.5,55,76,M,0.5571428571428572,0.5492957746478874,0.5531914893617021,71.0
